female	male	vowel	language
391	339	i	W.Apache
561	512	e	W.Apache
826	670	a	W.Apache
453	427	o	W.Apache
382	350	i	W.Apache
555	532	e	W.Apache
801	789	a	W.Apache
432	467	o	W.Apache
358	291	i	CA English
454	406	e	CA English
991	706	a	CA English
561	439	o	CA English
398	324	u	CA English
362	312	i	CA English
456	423	e	CA English
987	694	a	CA English
563	453	o	CA English
401	334	u	CA English
334	307	i	Ndumbea
444	361	e	Ndumbea
796	678	a	Ndumbea
542	474	o	Ndumbea
333	311	u	Ndumbea
326	302	i	Ndumbea
435	362	e	Ndumbea
787	668	a	Ndumbea
545	482	o	Ndumbea
345	315	u	Ndumbea
343	293	i	Sele
520	363	e	Sele
989	809	a	Sele
507	367	o	Sele
357	300	u	Sele
337	312	i	Sele
521	376	e	Sele
978	810	a	Sele
512	371	o	Sele
362	305	u	Sele
