"CASE","RT","FAMILIARITY","FREQ"
"almond",650.9947,NA,"low"
"ant",589.4347,"med","low"
"apple",523.0493,"hi","low"
"apricot",642.3342,"lo","low"
"asparagus",696.2092,"med","low"
"avocado",621.6382,NA,"high"
"banana",601.8914,"hi","low"
"bat",589.6712,"med","high"
"beaver",661.5156,"med","low"
"bee",567.0827,"hi","high"
"beetroot",751.0928,NA,"low"
"blackberry",638.035,NA,"low"
"broccoli",597.6108,NA,"low"
"bunny",672.3081,"med","low"
"butterfly",635.4823,"med","low"
"camel",636.0095,"lo","low"
"carrot",620.8766,"med","low"
"cat",567.6625,"hi","high"
"cherry",614.0209,"med","low"
"chicken",588.0462,"hi","high"
"clove",667.214,"lo","low"
"crocodile",699.0151,"lo","low"
"cucumber",617.7367,"med","low"
"dog",583.6823,"hi","high"
"dolphin",618.1155,NA,"low"
"donkey",581.6936,NA,"low"
"eagle",596.3469,"lo","low"
"eggplant",616.3894,NA,"low"
"elephant",655.216,"lo","low"
"fox",614.8879,"med","high"
"frog",592.9443,"med","low"
"gherkin",776.6582,NA,"low"
"goat",559.7334,"med","low"
"goose",576.6969,NA,"low"
"grape",568.4144,"med","low"
"gull",660.019,NA,"low"
"hedgehog",773.9089,NA,"low"
"horse",624.4767,"hi","high"
"kiwi",600.9778,NA,"low"
"leek",682.1382,"lo","low"
"lemon",549.3614,"med","high"
"lettuce",634.6535,"hi","low"
"lion",588.3237,"med","high"
"magpie",745.4629,NA,"low"
"melon",596.4692,"lo","low"
"mole",655.4345,"med","low"
"monkey",593.6087,"med","low"
"moose",620.0387,"med","low"
"mouse",604.3841,"med","high"
"mushroom",602.2479,NA,"low"
"mustard",633.95,"med","high"
"olive",578.9176,"lo","low"
"orange",544.8413,"hi","high"
"owl",637.3747,"med","low"
"paprika",745.1318,NA,"low"
"peanut",571.8937,NA,"low"
"pear",579.4982,"hi","low"
"pig",559.0134,"med","low"
"pineapple",636.775,"med","low"
"potato",670.7467,"hi","high"
"radish",678.3105,"lo","low"
"reindeer",754.3662,NA,"low"
"shark",585.1791,"med","low"
"sheep",556.1345,"med","high"
"snake",609.8235,"med","high"
"spider",562.3294,"med","low"
"squid",672.073,NA,"low"
"squirrel",711.7317,"med","low"
"stork",794.4522,"lo","low"
"strawberry",612.796,"med","low"
"swan",606.9915,NA,"low"
"tomato",611.024,"hi","low"
"tortoise",733.0323,"lo","low"
"walnut",663.5908,"med","high"
"wasp",725.7056,NA,"low"
"whale",609.9745,"med","low"
"woodpecker",686.3439,NA,"low"
