"word","freqdoc1","freqdoc3"
"able",1,0
"about",2,1
"absent",0,1
"absolutely",0,1
"access",1,0
"acute",0,1
"after",1,0
"all",0,1
"alone",0,1
"already",0,1
"although",1,0
"amount",0,1
"am",1,0
"and",10,2
"another",1,4
"an",3,1
"are",1,0
"articulate",0,1
"assuming",1,0
"as",2,2
"attempt",0,1
"attending",0,1
"at",1,1
"audience",0,2
"available",1,0
"a",22,11
"barely",0,1
"because",1,0
"been",0,1
"being",0,1
"believe",0,1
"best",0,1
"be",7,3
"boss",1,0
"broad",1,0
"brush",1,0
"but",3,0
"by",1,2
"can",3,0
"career",2,0
"care",0,1
"cases",0,1
"ceo",0,1
"chance",1,0
"change",0,1
"clearly",1,0
"clear",0,1
"comes",1,0
"companies",2,0
"company",6,1
"compared",0,2
"comparison",0,1
"compensated",0,2
"compensation",0,2
"concern",2,0
"concrete",0,1
"conditions",1,0
"constitute",1,0
"contribution",1,0
"could",0,1
"course",1,1
"create",1,0
"curb",0,1
"delivery",0,1
"departments",1,0
"department",1,0
"depending",0,1
"detail",1,0
"determine",0,2
"different",1,0
"difficult",1,0
"direct",2,1
"disadvantage",1,0
"disparity",0,2
"disproportionately",0,1
"documentary",1,0
"does",0,1
"down",1,0
"do",1,0
"ease",1,0
"employees",1,1
"employee",1,0
"employer",2,0
"end",1,0
"enjoyed",0,1
"enormous",1,0
"entire",1,0
"even",1,1
"evoke",1,0
"examples",0,2
"example",1,1
"excessive",0,1
"exercised",1,0
"expected",1,0
"experience",1,1
"extensive",1,0
"extreme",0,1
"family",1,0
"fascinating",1,0
"feel",1,0
"firm",3,0
"flourish",1,0
"football",0,2
"fortunes",1,0
"for",4,2
"friendly",1,0
"from",0,2
"funds",1,0
"generalise",1,0
"given",0,2
"good",0,2
"grand",1,0
"greater",1,0
"great",1,0
"group",1,0
"gut",0,1
"hand",1,0
"has",1,0
"have",4,1
"highly",2,1
"high",0,2
"honing",1,0
"however",0,1
"how",0,2
"if",1,1
"immediate",1,0
"impact",1,0
"impossible",1,2
"indeed",1,0
"individual",2,0
"instance",0,1
"in",12,7
"irrespective",1,0
"is",4,9
"itself",1,1
"it",3,2
"i",3,1
"job",3,0
"judged",0,1
"judge",0,1
"kinds",0,1
"know",1,0
"lack",2,0
"large",5,0
"leadership",2,0
"left",0,1
"less",0,2
"level",0,2
"likely",1,1
"limiting",0,1
"line",1,0
"love",0,1
"lowest",0,1
"loyalty",1,0
"make",1,0
"making",1,0
"management",2,0
"manager",1,0
"manufacture",1,0
"many",2,0
"match",0,1
"maximum",0,1
"may",5,3
"meaning",0,2
"measures",0,1
"member",0,2
"might",3,0
"miserable",1,0
"more",1,1
"most",1,1
"much",0,1
"multi",1,0
"national",1,0
"natural",0,1
"not",3,4
"no",0,1
"objectively",0,2
"objective",0,1
"offer",1,0
"of",18,16
"one",3,3
"on",3,2
"operate",1,0
"opportunities",1,0
"opportunity",2,0
"organisation",2,0
"or",2,1
"others",0,1
"other",1,0
"over",1,0
"own",1,0
"paid",1,0
"particularly",0,3
"particular",1,0
"pay",0,1
"peer",1,0
"people",1,1
"persons",0,1
"person",1,4
"per",1,0
"pianos",1,0
"piece",0,1
"place",2,2
"players",0,2
"poor",1,0
"possible",2,0
"preferable",1,0
"problem",0,5
"progression",1,0
"quality",1,0
"question",1,1
"quite",1,0
"rather",1,0
"reaction",0,1
"real",1,0
"received",0,1
"receive",0,1
"recently",1,0
"referring",1,0
"regardless",1,0
"relation",0,1
"relative",0,1
"remarks",1,0
"remedy",0,1
"remunerative",0,1
"result",0,1
"reveals",0,1
"role",1,0
"root",0,1
"same",1,0
"satisfaction",1,0
"save",0,1
"scale",1,0
"schemes",1,0
"secure",1,0
"seem",0,1
"senior",1,0
"sense",2,0
"se",1,0
"should",0,2
"show",0,1
"single",1,0
"situations",0,1
"skills",1,0
"smaller",1,0
"small",6,0
"society",0,1
"someone",0,1
"sometimes",1,0
"some",1,2
"sought",1,0
"space",1,0
"spend",1,0
"sports",0,1
"standard",0,1
"steinway",1,0
"stroke",1,0
"subjectively",0,1
"such",0,2
"s",0,2
"taken",0,1
"team",2,0
"that",3,7
"theatre",0,1
"their",4,2
"then",1,0
"there",0,2
"they",0,1
"the",19,21
"thing",0,1
"think",2,0
"this",5,3
"though",0,1
"time",1,0
"to",13,14
"training",2,0
"two",0,1
"tying",0,1
"ultimately",1,1
"unfair",0,1
"upon",0,1
"valuable",0,1
"value",0,7
"very",2,1
"wages",0,1
"wants",1,0
"watched",1,0
"way",0,2
"well",3,0
"when",0,2
"where",3,2
"whether",1,0
"which",2,1
"while",1,2
"will",1,1
"within",1,0
"with",0,1
"working",2,0
"workplace",1,0
"work",3,7
"worst",0,1
"would",0,2
"years",1,0
"your",1,0
"you",0,1
