"ngram","frequency","rater1","rater2"
"are·typically·",488,2,4
"of·the·french·revolution·",87,5,3
"back·-·up·",62,6,4
"the·NUM·tournament·",79,5,3
"of·creation·",85,5,4
"com·/·NUM·",71,2,3
"the·NUM·other·",79,2,4
"the·tongue·",75,6,4
"the·bolsheviks·",142,6,3
"NUM·as·of·",59,4,4
"NUM·bronze·",75,1,3
"of·combat·",59,3,3
"the·Wehrmacht·",126,6,3
"the·Northern·",326,4,4
"as·CEO·",61,5,4
"a·super·",88,2,4
"his·early·years·",65,6,4
"yet·another·",239,5,4
"in·a·NUM·-·NUM·victory·",191,5,3
"the·charter·",81,6,3
"with·Israel·",78,5,3
"none·of·these·",110,5,4
"is·low·",94,5,4
"NUM·run·",80,5,3
"NUM·-·NUM·who·",211,2,3
"were·once·",127,2,4
"is·nearly·",129,1,4
"in·other·cases·",67,6,4
"the·St·Louis·Cardinals·",68,6,3
"invasions·of·",68,5,4
"with·the·chinese·",66,6,4
"NUM·member·",214,5,3
"countries·for·",66,2,4
"in·the·course·of·",173,5,4
"according·to·NUM·",194,4,4
"in·the·Roman·",194,4,4
"a·branch·of·",86,5,4
"a·new·constitution·",98,6,3
"the·mode·",59,6,4
"the·injured·",69,6,4
"still·exist·",74,5,4
"have·fallen·",72,6,4
"up·NUM·",275,2,3
"served·under·",67,6,4
"from·India·",120,6,3
"was·re·-·released·",77,6,3
"a·choice·of·",74,3,4
"North·East·",71,6,4
"of·their·own·",363,5,4
"music·video·",231,6,4
"album·released·",118,2,4
"the·protests·",113,6,3
"the·empty·",88,2,4
"in·future·",95,5,4
"western·part·of·",81,5,4
"a·NUM·ERA·",71,3,3
"system·but·",95,1,4
"are·supported·",88,6,4
"incorporated·as·",112,4,4
"NUM·and·also·",109,1,3
"head·of·",94,5,3
"section·of·",335,5,4
"for·german·",96,2,4
"can·be·used·for·",162,5,4
"NUM·music·",122,2,4
"its·foundation·",76,6,4
"a·division·of·",115,3,4
"Boston·University·",72,6,3
"of·São·Paulo·",64,6,3
"the·Younger·",148,4,4
"alliance·with·",143,5,4
"California·on·",75,2,4
"suspicious·of·",76,5,4
"would·produce·",65,6,4
"http·/·www·",1039,1,3
"NUM·provides·",63,1,3
"tax·rate·",71,5,3
"state·highway·",79,5,3
"the·Master·",101,6,3
"talk·show·",117,5,3
"in·working·",59,2,3
"asserted·that·",232,5,4
"others·of·",66,3,3
"Big·East·",61,5,4
"the·mines·",84,6,3
"Universal·Music·",64,5,3
"NUM·-·dimensional·",268,5,3
"a·station·",157,6,3
"her·career·",253,6,3
"daughter·of·",538,5,3
"he·initially·",87,1,4
"occurrence·of·",64,2,3
"a·proposal·",121,6,4
"in·Shanghai·",158,6,4
"the·last·decade·",79,6,4
"of·gas·",117,2,3
"the·limitations·",79,6,4
"within·the·United·",65,1,3
"NUM·Japan·",167,2,3
"the·architecture·",127,6,3
"was·aware·of·",66,5,4
"a·scene·",192,6,4
"a·loss·",127,6,4
"area·NUM·",71,4,3
"Germany·for·",64,2,3
"is·a·british·",113,2,4
"the·Soviets·",480,6,4
"the·Bundestag·",60,6,4
"measurements·of·",83,2,3
"periods·of·time·",103,6,3
"of·the·deceased·",59,5,3
"on·paper·",102,5,4
"steps·of·",64,2,3
"the·feud·",74,6,3
"NUM·english·",118,2,3
"a·pattern·",104,6,4
"Commodore·NUM·",91,5,3
"the·Village·",143,6,4
"NUM·horses·",81,5,3
"in·ancient·times·",93,6,4
"also·makes·",109,3,4
"the·NUM·-·year·-·old·",200,5,4
"to·reflect·",140,6,4
"the·NUM·and·NUM·",457,5,3
"the·Qing·",100,5,4
"selling·over·NUM·",73,2,3
"office·at·",60,2,3
"the·Republican·",84,6,4
"young·girl·",69,5,4
"a·reward·",93,6,4
"of·the·canadian·",175,2,4
"within·the·first·",65,4,4
"be·extended·",68,6,4
"a·journalist·",117,6,4
"the·Dark·",147,5,3
"code·for·",135,5,4
"often·not·",79,2,4
"to·Parliament·",79,4,4
"Manchester·City·",274,6,4
"of·snow·",69,2,3
"organizations·such·as·",104,2,4
"the·provisional·",105,2,4
"is·credited·",120,5,3
"NUM·each·",342,5,3
"in·NUM·the·government·",148,2,3
"the·main·body·",80,6,4
"NUM·page·",84,5,3
"NUM·Hong·",66,2,3
"NUMA·NUM·",201,2,3
"Duke·of·York·",77,6,3
"a·hot·",145,1,3
"year·-·round·",126,1,3
"foothills·of·",62,4,3
"Rimsky·-·Korsakov·",77,2,3
"it·was·introduced·",79,6,4
"NUM·additional·",377,1,3
"forces·during·",67,1,3
"an·artificial·",104,1,4
"came·with·",129,5,3
"passed·on·",118,5,4
"Research·Institute·",172,6,3
"monopoly·on·",62,3,4
"the·aging·",73,2,4
"be·the·case·",75,3,4
"a·unit·of·",107,3,3
"of·ground·",97,1,3
"air·on·",65,2,3
"of·the·spectrum·",68,5,3
"the·membership·",70,6,3
"in·the·main·",157,2,4
"by·Saint·",60,2,3
"was·released·as·",71,5,3
"with·the·result·",70,5,4
"of·Burgundy·",126,6,3
"of·Music·",180,5,3
"located·NUM·km·",92,2,3
"of·a·special·",78,2,3
"New·Year·'·s·",89,6,4
"to·quell·",68,6,3
"of·the·show·",312,6,3
"educational·institutions·",108,6,3
"the·creature·",79,6,3
"the·irish·",439,6,4
"estimates·that·",125,5,4
"Bahá·'·u·'·lláh·",70,4,3
"the·open·",401,5,3
"to·NUM·months·",198,3,3
"of·the·air·",93,3,3
"City·as·",70,2,3
"Games·NUM·",62,2,3
"stem·cells·",105,6,3
"the·IUCN·",71,5,3
"Airlines·Flight·NUM·",60,5,3
"the·couple·",433,6,4
"to·a·certain·",95,2,3
"a·move·",195,6,3
"a·legacy·",59,6,3
"this·effect·",180,6,4
"for·larger·",62,2,3
"the·long·",343,1,3
"a·share·",103,6,3
"credit·cards·",77,6,4
"NUM·record·",62,3,3
"a·force·of·NUM·",65,5,3
"mountain·ranges·",108,6,3
"final·stage·",71,5,3
"information·for·",112,4,3
"are·displayed·",63,6,3
"in·the·district·",167,6,3
"an·ongoing·",138,4,3
"were·responsible·for·",106,6,4
"condition·that·",82,2,3
"mass·of·",72,5,3
"an·influence·on·",66,5,3
"the·militia·",59,6,3
"to·arrive·",175,6,3
"a·new·NUM·",177,2,3
"is·a·prefecture·-·level·city·",61,5,3
"the·lost·",105,2,4
"stand·for·",104,4,4
"a·newspaper·",144,6,3
"the·revised·",118,5,3
"matrix·of·",66,4,3
"role·-·playing·game·",62,5,3
"faster·than·",202,5,3
"common·sense·",74,6,4
"the·rough·",65,2,3
"the·present·",372,6,4
