"ngram","fc","rc"
"20·per·cent·of·",23,0
"200·million·",0,26
"9·of·",0,54
"90%·of·",0,58
"94·words·",0,58
"a·19-year-old·",0,28
"a·back·",13,28
"a·battle·",31,14
"a·big·",346,162
"a·bill·",45,22
"a·billion·",21,22
"a·black·Vauxhall·",0,18
"a·bottle·of·",43,34
"a·brilliant·",18,20
"a·broad·",37,142
"a·bus·and·a·",0,16
"a·business·",144,72
"a·candidate·",22,16
"a·case·",95,48
"a·CCTV·image·of·",0,82
"a·challenge·",0,28
"a·Chinese·",14,26
"a·coherent·",31,0
"a·combination·",34,90
"a·commercial·",0,56
"a·commitment·to·",42,14
"a·company·",59,126
"a·complete·",85,98
"a·complex·",32,0
"a·constant·",16,24
"a·cost·",0,50
"a·couple·",125,108
"a·criminal·",0,24
"a·customs·union·with·",51,0
"a·day.·",16,0
"a·dead·",0,44
"a·decade·",19,18
"a·decision·on·",27,0
"a·definitive·",15,90
"a·delay·",33,14
"a·detached·",0,28
"a·difficult·",72,0
"a·disaster·for·",45,0
"a·diverse·",19,34
"a·division·",374,58
"a·dog·",14,0
"a·European·",0,46
"a·female·",0,88
"a·few·",404,216
"A·few·",26,0
"a·fight·at·",0,16
"a·financial·",72,14
"a·fire.·",0,16
"a·first-floor·",0,22
"a·focus·on·",31,38
"a·footpath·",0,20
"a·formal·",76,42
"a·fresh·",171,0
"a·future·",244,46
"a·glass·",0,52
"a·greater·",98,0
"a·group·",154,226
"a·growing·",99,68
"a·hard·border·between·",52,0
"a·health·",15,32
"a·heated·",15,0
"a·highly·",49,116
"a·holiday·",23,24
"a·host·",47,22
"a·housing·",14,18
"a·kitchen/dining·",0,18
"a·lamp·",0,26
"a·large·quantity·of·",0,18
"a·later·date.·",0,16
"a·legislative·",38,0
"a·lifetime·",16,24
"a·light·",15,26
"a·load·of·",18,14
"a·long-standing·",18,0
"a·long-term·",56,66
"a·lorry·on·",0,26
"a·lot·",816,184
"a·lot·of·",558,134
"a·loving·",0,18
"a·majority.·",16,0
"a·majority·",0,24
"A·majority·of·",19,14
"a·man·",108,1440
"A·man·",0,734
"A·man·in·his·",0,66
"a·man·they·want·to·speak·",0,32
"a·marked·",23,14
"a·matter·",0,16
"a·maximum·of·",15,22
"a·measure·",19,0
"a·member·of·the·",206,0
"a·minor·",14,38
"a·modern·",26,62
"a·move·that·",34,0
"A·musical·",0,30
"a·negative·",129,60
"a·negative·",0,60
"a·negative·impact·",59,0
"a·new·",26,32
"A·New·Drug·",0,16
"a·new·referendum·",28,0
"a·number·",572,596
"a·number·of·",537,0
"A·pair·of·",0,18
"a·particularly·",31,26
"a·partnership·",29,52
"a·patient·who·",0,14
"a·patient's·",0,66
"a·payment·",0,26
"a·period·of·",117,40
"a·permanent·",52,20
"a·personal·",32,20
"a·petition·",34,32
"a·photo·",21,76
"a·picture·",36,106
"a·pig·",0,22
"a·pipeline·",0,34
"a·planned·",26,32
"a·political·party·",14,0
"a·pond·",0,16
"a·potential·",161,0
"a·premises·",0,14
"a·presence·",15,16
"a·price·",84,44
"a·probe·",0,14
"a·problem·",61,28
"a·profound·",26,0
"a·proposal·to·",16,0
"a·proposed·",31,36
"a·quarter·",144,94
"a·rare·disease·",0,20
"a·rate·",41,0
"a·re-run·",23,0
