"n.gram","n.size","G","cpr","dice","ll","f","freq_first_word","freq_last_word","rating"
"the·D·",2,9.6701,0.071431,0.00029273,11.036,158,1976066,5306,"F"
"for·a·full·",3,-7.0888,0.17267,0.00024805,0,65,222363,6230,"F"
"the·collection·",2,11.222,0.21952,0.00046188,122.09,195,1976066,2797,"T"
"the·oldest·",2,11.463,0.78168,0.0013186,2184.9,566,1976066,1741,"U"
"to·be·sent·",3,2.211,0.4089,0.00029915,0,68,590991,2641,"U"
"of·the·greek·",3,1.2682,0.18647,0.00024639,0,229,966326,4213,"F"
"the·present·",2,13.824,0.34833,0.001148,588.89,372,1976066,1174,"T"
"Earth·'·s·",3,-0.030071,0.47992,0.0010437,0,173,1931,81513,"U"
"the·colonies·",2,8.114,0.21167,0.0001386,32.38,134,1976066,902,"T"
"NUM·foreign·",2,6.8681,0.078741,0.00022871,4.4089,129,1001604,4018,"F"
"de·facto·",2,13.104,1,0.44504,3533,224,1420,454,"U"
"bronze·Age·",2,10.481,0.98822,0.15279,850,147,937,1146,"T"
"such·as·NUM·",3,0.18097,0.026369,0.0003652,0,162,33170,1001604,"F"
"real·estate·",2,12.77,0.94375,0.12405,1987.8,341,4269,1229,"T"
"the·low·",2,11.184,0.13923,0.00048254,18.653,347,1976066,5102,"F"
"this·situation·",2,9.0235,0.48406,0.0039446,342.79,170,83950,2244,"U"
"the·basis·for·",3,13.034,0.43931,0.00055197,0,193,1976066,222363,"F"
"the·Beatles·",2,9.5882,0.8305,0.00032279,539.07,237,1976066,423,"T"
"is·perhaps·",2,9.4785,0.44372,0.0014543,252.97,133,270267,2022,"F"
"capable·of·",2,12.767,0.91506,0.002583,3026.3,738,1538,966326,"U"
"years·ago·",2,11.591,0.99492,0.071352,5697.3,132,27542,1245,"T"
"good·and·evil·",3,0.074438,0.77313,0.00024726,0,66,4991,624,"T"
"was·named·after·",3,13.106,0.44593,0.0028247,0,234,287981,51135,"T"
"appearing·on·",2,8.4375,0.56196,0.0013929,270.63,140,895,200123,"T"
"of·the·central·",3,0.073261,0.15945,0.00027276,0,252,966326,5241,"F"
"this·NUM·",2,9.1184,0.016383,0.00066694,1661.3,265,83950,1001604,"F"
"NUM·brothers·",2,8.9066,0.31876,0.00043269,140.47,217,1001604,1423,"T"
"the·process·",2,15.041,0.34448,0.0017173,1053.9,357,1976066,6168,"T"
"of·the·region·",3,10.404,0.17357,0.00052471,0,449,966326,7787,"T"
"was·conducted·",2,9.7907,0.50649,0.0014654,343.27,136,287981,1368,"U"
"a·practical·",2,7.9802,0.30912,0.00049408,131.21,136,557551,1064,"F"
"a·distinct·",2,10.095,0.4649,0.0011446,416.01,252,557551,1613,"U"
"in·common·with·",3,6.5858,0.26084,0.00037494,0,142,741837,193898,"T"
"the·patriarch·",2,8.1448,0.36958,0.00013964,101.13,59,1976066,441,"T"
"the·measure·",2,8.1556,0.14628,0.00012847,16.927,127,1976066,1045,"T"
"the·relation·",2,7.3422,0.14513,0.00013049,16.038,130,1976066,1085,"T"
"with·more·than·NUM·",4,12.449,0.24573,0.00090291,0,240,193898,1001604,"U"
"F·C·",2,14.341,0.8695,0.13583,3492.8,668,2856,6965,"T"
