frequency,word
18,the
18,to
12,a
12,in
10,and
10,of
10,that
8,or
7,is
6,be
6,their
5,for
5,pay
5,work
4,are
4,do
4,not
4,they
4,would
3,as
3,feel
3,i
3,job
3,money
3,more
3,particular
3,those
2,can
2,chief
2,country
2,employees
2,enough
2,fortunate
2,had
2,if
2,local
2,long
2,may
2,need
2,now
2,on
2,paid
2,primary
2,receive
2,roles
2,so
2,some
2,sufficient
2,than
2,them
2,these
2,this
2,time
2,unwilling
2,who
2,with
1,able
1,adequately
1,admitting
1,all
1,an
1,antisocial
1,areas
1,at
1,authority
1,available
1,awarded
1,because
1,being
1,beings
1,beneath
1,benefits
1,best
1,bonuses
1,bring
1,british
1,carers
1,case
1,choice
1,come
1,comfortable
1,compensate
1,confidence
1,council
1,creative
1,crisis
1,cut
1,dignity
1,discover
1,disempowered
1,dole
1,e
1,eat
1,either
1,elsewhere
1,endeavour
1,esteem
1,everyone
1,executive
1,executives
1,family
1,feeling
1,financial
1,fits
1,food
1,free
1,from
1,frozen
1,fundamentally
1,g
1,geriatric
1,get
1,gifting
1,government
1,have
1,having
1,head
1,high
1,honestly
1,hours
1,human
1,implying
1,individuals
1,involved
1,issue
1,it
1,its
1,itself
1,jobs
1,junior
1,just
1,justification
1,keep
1,lending
1,level
1,life
1,lifting
1,like
1,live
1,love
1,low
1,major
1,management
1,many
1,massive
1,might
1,most
1,moving
1,much
1,my
1,nationals
1,no
1,nurses
1,obscenely
1,one
1,opinion
1,order
1,other
1,out
1,outstanding
1,over
1,people
1,period
1,person
1,personality
1,poor
1,preferred
1,primarily
1,profession
1,purpose
1,question
1,rather
1,recent
1,regarding
1,reimbursed
1,rise
1,roof
1,said
1,salaries
1,sectors
1,see
1,self
1,senior
1,simply
1,sole
1,strenuous
1,struggle
1,support
1,take
1,taken
1,taxing
1,tends
1,there
1,too
1,towards
1,types
1,uk
1,understand
1,undertake
1,universities
1,vocation
1,was
1,we
1,welsh
1,when
1,willing
1,working
1,years
